PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,10.06.2022,225.28,223.25,230.00,1051200,76895,95
Jahr 2024,Jahr,10.06.2022,170.82,168.00,180.00,685152,19138,67
Jahr 2025,Jahr,10.06.2022,151.28,152.00,153.00,26280,5611,3
Quartal 3/2022,Quartal,10.06.2022,196.82,194.00,197.00,264960,201780,80
Quartal 4/2022,Quartal,10.06.2022,254.23,252.00,256.00,75106,187218,28
Quartal 1/2023,Quartal,10.06.2022,273.98,273.50,278.00,112268,15496,37
Quartal 2/2023,Quartal,10.06.2022,190.73,189.00,190.75,32760,6158,12
Quartal 3/2023,Quartal,10.06.2022,192.05,191.00,192.50,39744,5810,10
Quartal 4/2023,Quartal,10.06.2022,245.05,245.50,252.00,17672,5927,5
Quartal 1/2024,Quartal,10.06.2022,226.89,228.00,228.00,4366,613,2
Quartal 2/2024,Quartal,10.06.2022,138.14,138.00,147.00,21840,467,8
Quartal 3/2024,Quartal,10.06.2022,138.54,138.50,142.00,15456,557,5
Quartal 4/2024,Quartal,10.06.2022,180.00,180.00,180.00,44180,151,15
Juni 2022,Monat,10.06.2022,170.11,-,-,-,233975,-
Juli 2022,Monat,10.06.2022,182.19,180.50,184.00,172608,7938,139
August 2022,Monat,10.06.2022,192.82,188.50,193.00,123504,1980,66
September 2022,Monat,10.06.2022,216.07,213.50,216.00,23040,2864,19
Oktober 2022,Monat,10.06.2022,218.57,-,-,745,670,1
November 2022,Monat,10.06.2022,270.27,268.50,268.50,1440,94,2
Dezember 2022,Monat,10.06.2022,274.42,-,-,-,347,-
Januar 2023,Monat,10.06.2022,294.28,-,-,-,-,-
Februar 2023,Monat,10.06.2022,288.75,-,-,-,-,-
März 2023,Monat,10.06.2022,240.30,-,-,-,-,-
