PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,29.06.2022,281.35,273.00,285.00,1384080,80456,131
Jahr 2024,Jahr,29.06.2022,174.05,170.00,176.00,535824,20316,48
Jahr 2025,Jahr,29.06.2022,142.48,140.75,142.50,122640,5958,12
Quartal 4/2022,Quartal,29.06.2022,362.23,353.50,365.00,340186,190305,97
Quartal 1/2023,Quartal,29.06.2022,337.52,325.00,340.00,198628,17665,61
Quartal 2/2023,Quartal,29.06.2022,246.38,243.50,249.50,124488,6852,39
Quartal 3/2023,Quartal,29.06.2022,246.34,240.50,250.00,99360,6370,24
Quartal 4/2023,Quartal,29.06.2022,296.02,290.00,297.00,97196,6549,22
Quartal 1/2024,Quartal,29.06.2022,257.05,257.00,257.00,4366,682,2
Quartal 2/2024,Quartal,29.06.2022,134.63,-,-,-,533,-
Quartal 3/2024,Quartal,29.06.2022,132.01,-,-,-,618,-
Quartal 4/2024,Quartal,29.06.2022,173.01,-,-,-,172,-
Juni 2022,Monat,29.06.2022,218.03,-,-,-,233975,-
Juli 2022,Monat,29.06.2022,286.17,270.00,290.00,361584,228369,234
August 2022,Monat,29.06.2022,307.47,290.00,308.50,207576,213819,180
September 2022,Monat,29.06.2022,333.79,325.00,340.00,86400,213075,64
Oktober 2022,Monat,29.06.2022,316.97,310.00,318.00,23095,1039,17
November 2022,Monat,29.06.2022,384.11,-,-,-,161,-
Dezember 2022,Monat,29.06.2022,386.37,-,-,-,384,-
Januar 2023,Monat,29.06.2022,369.16,-,-,-,-,-
Februar 2023,Monat,29.06.2022,369.16,-,-,-,2,-
März 2023,Monat,29.06.2022,277.22,-,-,-,-,-
