PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,26.05.2022,231.30,229.00,233.00,210240,74785,22
Jahr 2024,Jahr,26.05.2022,183.05,182.10,183.10,35136,18374,4
Jahr 2025,Jahr,26.05.2022,161.00,-,-,-,5313,-
Quartal 3/2022,Quartal,26.05.2022,209.00,207.00,211.25,147936,198932,36
Quartal 4/2022,Quartal,26.05.2022,258.00,256.00,260.00,66270,185819,22
Quartal 1/2023,Quartal,26.05.2022,283.01,281.50,283.00,32385,14684,13
Quartal 2/2023,Quartal,26.05.2022,196.16,194.00,196.00,10920,5883,5
Quartal 3/2023,Quartal,26.05.2022,197.71,-,-,-,5422,-
Quartal 4/2023,Quartal,26.05.2022,249.07,-,-,-,5540,-
Quartal 1/2024,Quartal,26.05.2022,230.52,-,-,-,555,-
Quartal 2/2024,Quartal,26.05.2022,154.08,-,-,-,357,-
Quartal 3/2024,Quartal,26.05.2022,150.66,-,-,-,469,-
Quartal 4/2024,Quartal,26.05.2022,197.16,-,-,-,104,-
Mai 2022,Monat,26.05.2022,176.79,-,-,-,228545,-
Juni 2022,Monat,26.05.2022,184.88,183.69,187.50,118080,232496,87
Juli 2022,Monat,26.05.2022,197.91,197.00,198.50,26040,2721,18
August 2022,Monat,26.05.2022,203.60,203.00,204.00,14136,818,17
September 2022,Monat,26.05.2022,226.04,226.00,228.00,7920,1776,8
Oktober 2022,Monat,26.05.2022,225.84,-,-,-,603,-
November 2022,Monat,26.05.2022,274.70,-,-,-,69,-
Dezember 2022,Monat,26.05.2022,274.04,-,-,-,294,-
Januar 2023,Monat,26.05.2022,303.66,-,-,-,-,-
Februar 2023,Monat,26.05.2022,297.97,-,-,-,-,-
