PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,01.06.2022,241.23,234.00,243.00,1506720,75571,156
Jahr 2024,Jahr,01.06.2022,188.39,185.00,188.50,676368,18647,57
Jahr 2025,Jahr,01.06.2022,164.00,161.75,164.00,297840,5506,20
Quartal 3/2022,Quartal,01.06.2022,209.30,203.00,210.50,525504,199955,171
Quartal 4/2022,Quartal,01.06.2022,263.13,257.50,265.00,223109,186480,55
Quartal 1/2023,Quartal,01.06.2022,292.50,290.00,294.00,181356,14932,62
Quartal 2/2023,Quartal,01.06.2022,204.63,200.00,205.00,93912,5983,27
Quartal 3/2023,Quartal,01.06.2022,208.25,205.00,210.00,50784,5542,13
Quartal 4/2023,Quartal,01.06.2022,260.27,-,-,-,5623,-
Quartal 1/2024,Quartal,01.06.2022,238.37,-,-,-,578,-
Quartal 2/2024,Quartal,01.06.2022,156.74,153.00,153.00,10920,380,5
Quartal 3/2024,Quartal,01.06.2022,157.83,-,-,-,475,-
Quartal 4/2024,Quartal,01.06.2022,200.84,-,-,-,116,-
Juni 2022,Monat,01.06.2022,188.40,-,-,-,233979,-
Juli 2022,Monat,01.06.2022,197.39,193.50,200.04,144336,3780,120
August 2022,Monat,01.06.2022,206.51,201.00,209.00,47616,983,42
September 2022,Monat,01.06.2022,224.50,218.00,224.50,94320,2147,70
Oktober 2022,Monat,01.06.2022,227.78,-,-,-,615,-
November 2022,Monat,01.06.2022,282.05,279.80,279.80,1440,72,1
Dezember 2022,Monat,01.06.2022,280.23,280.00,280.00,11160,310,15
Januar 2023,Monat,01.06.2022,314.16,-,-,-,-,-
Februar 2023,Monat,01.06.2022,308.27,-,-,-,-,-
März 2023,Monat,01.06.2022,256.55,-,-,-,-,-
