PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,06.06.2022,247.40,245.30,249.00,315360,75786,35
Jahr 2024,Jahr,06.06.2022,193.99,194.50,194.50,17568,18742,1
Jahr 2025,Jahr,06.06.2022,167.94,-,-,-,5545,-
Quartal 3/2022,Quartal,06.06.2022,200.50,197.00,205.50,143520,200263,37
Quartal 4/2022,Quartal,06.06.2022,265.33,265.00,270.50,61852,186660,27
Quartal 1/2023,Quartal,06.06.2022,296.65,297.00,299.00,8636,15071,4
Quartal 2/2023,Quartal,06.06.2022,208.99,210.75,210.75,2184,6050,1
Quartal 3/2023,Quartal,06.06.2022,214.99,-,-,-,5571,-
Quartal 4/2023,Quartal,06.06.2022,269.65,265.00,267.00,4418,5705,2
Quartal 1/2024,Quartal,06.06.2022,245.43,-,-,-,579,-
Quartal 2/2024,Quartal,06.06.2022,161.19,-,-,-,390,-
Quartal 3/2024,Quartal,06.06.2022,162.04,-,-,-,485,-
Quartal 4/2024,Quartal,06.06.2022,207.52,-,-,-,116,-
Juni 2022,Monat,06.06.2022,177.81,-,-,-,233975,-
Juli 2022,Monat,06.06.2022,185.56,182.75,187.00,149544,4620,99
August 2022,Monat,06.06.2022,195.35,195.00,196.00,9672,1172,8
September 2022,Monat,06.06.2022,221.25,216.00,221.00,6480,2325,5
Oktober 2022,Monat,06.06.2022,225.27,-,-,-,645,-
November 2022,Monat,06.06.2022,282.87,-,-,-,87,-
Dezember 2022,Monat,06.06.2022,288.48,-,-,-,321,-
Januar 2023,Monat,06.06.2022,318.60,-,-,-,-,-
Februar 2023,Monat,06.06.2022,312.63,-,-,-,-,-
März 2023,Monat,06.06.2022,260.22,-,-,-,-,-
