PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,14.04.2022,199.47,189.00,201.50,586920,67594,54
Jahr 2024,Jahr,14.04.2022,151.42,151.25,153.20,281088,16126,26
Jahr 2025,Jahr,14.04.2022,131.30,129.00,131.50,87600,4463,10
Quartal 3/2022,Quartal,14.04.2022,240.00,225.00,250.00,512256,189177,155
Quartal 4/2022,Quartal,14.04.2022,253.35,238.00,260.00,691417,179868,162
Quartal 1/2023,Quartal,14.04.2022,244.25,244.00,249.00,53975,11732,18
Quartal 2/2023,Quartal,14.04.2022,180.04,-,-,-,5104,-
Quartal 3/2023,Quartal,14.04.2022,172.69,171.00,172.50,99360,4749,24
Quartal 4/2023,Quartal,14.04.2022,201.68,198.50,200.65,46389,3911,11
Quartal 1/2024,Quartal,14.04.2022,194.15,-,-,-,447,-
Quartal 2/2024,Quartal,14.04.2022,128.44,-,-,-,300,-
Quartal 3/2024,Quartal,14.04.2022,127.44,-,-,-,382,-
Quartal 4/2024,Quartal,14.04.2022,155.89,-,-,-,35,-
April 2022,Monat,14.04.2022,175.60,-,-,-,236941,-
Mai 2022,Monat,14.04.2022,210.50,195.50,215.25,226176,218667,187
Juni 2022,Monat,14.04.2022,225.20,208.00,232.00,119520,212284,93
Juli 2022,Monat,14.04.2022,230.58,220.00,235.25,15624,557,13
August 2022,Monat,14.04.2022,227.48,-,-,-,152,-
September 2022,Monat,14.04.2022,262.68,261.00,268.00,2160,406,2
Oktober 2022,Monat,14.04.2022,249.62,-,-,-,295,-
November 2022,Monat,14.04.2022,261.90,-,-,-,14,-
Dezember 2022,Monat,14.04.2022,248.82,-,-,-,294,-
Januar 2023,Monat,14.04.2022,262.85,-,-,-,-,-
