PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,10.05.2022,214.00,210.30,220.25,989880,71634,90
Jahr 2024,Jahr,10.05.2022,181.24,179.50,183.00,237168,17401,23
Jahr 2025,Jahr,10.05.2022,160.04,158.25,161.00,183960,4935,17
Quartal 3/2022,Quartal,10.05.2022,215.38,211.50,229.00,726432,195372,205
Quartal 4/2022,Quartal,10.05.2022,250.24,245.50,260.00,344604,183786,131
Quartal 1/2023,Quartal,10.05.2022,255.88,248.00,256.75,101473,13185,31
Quartal 2/2023,Quartal,10.05.2022,184.79,181.00,186.20,37128,5577,13
Quartal 3/2023,Quartal,10.05.2022,184.77,181.00,186.75,41952,5154,15
Quartal 4/2023,Quartal,10.05.2022,231.17,227.45,231.65,26508,5043,11
Quartal 1/2024,Quartal,10.05.2022,228.04,228.00,229.00,4366,518,2
Quartal 2/2024,Quartal,10.05.2022,155.79,-,-,-,330,-
Quartal 3/2024,Quartal,10.05.2022,150.62,-,-,-,442,-
Quartal 4/2024,Quartal,10.05.2022,190.75,-,-,-,81,-
Mai 2022,Monat,10.05.2022,185.55,-,-,-,229803,-
Juni 2022,Monat,10.05.2022,191.81,185.50,210.00,593280,223574,457
Juli 2022,Monat,10.05.2022,202.03,199.00,217.00,43896,1395,41
August 2022,Monat,10.05.2022,207.53,204.00,207.50,33480,498,13
September 2022,Monat,10.05.2022,237.28,234.99,239.00,12960,880,8
Oktober 2022,Monat,10.05.2022,236.10,233.50,233.50,3725,535,1
November 2022,Monat,10.05.2022,259.58,-,-,-,69,-
Dezember 2022,Monat,10.05.2022,255.35,-,-,-,294,-
Januar 2023,Monat,10.05.2022,274.93,-,-,-,-,-
Februar 2023,Monat,10.05.2022,269.78,-,-,-,-,-
