PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,02.05.2022,200.47,196.00,204.50,420480,69584,45
Jahr 2024,Jahr,02.05.2022,164.25,164.00,165.00,140544,16916,13
Jahr 2025,Jahr,02.05.2022,144.05,144.00,145.25,96360,4710,11
Quartal 3/2022,Quartal,02.05.2022,220.73,219.00,226.00,57408,192476,21
Quartal 4/2022,Quartal,02.05.2022,249.42,248.45,253.50,94987,181886,27
Quartal 1/2023,Quartal,02.05.2022,245.39,245.00,252.00,120904,12573,29
Quartal 2/2023,Quartal,02.05.2022,175.47,172.00,175.45,43680,5298,19
Quartal 3/2023,Quartal,02.05.2022,173.76,172.00,173.00,19872,4897,9
Quartal 4/2023,Quartal,02.05.2022,207.99,207.50,207.95,68479,4574,23
Quartal 1/2024,Quartal,02.05.2022,204.29,-,-,-,487,-
Quartal 2/2024,Quartal,02.05.2022,142.51,-,-,-,327,-
Quartal 3/2024,Quartal,02.05.2022,140.00,-,-,-,438,-
Quartal 4/2024,Quartal,02.05.2022,170.41,-,-,-,78,-
Mai 2022,Monat,02.05.2022,192.92,-,-,-,229812,-
Juni 2022,Monat,02.05.2022,201.50,198.00,203.00,78480,217300,73
Juli 2022,Monat,02.05.2022,210.30,212.00,215.00,9672,966,4
August 2022,Monat,02.05.2022,206.71,213.00,213.00,3720,308,1
September 2022,Monat,02.05.2022,245.99,245.00,245.00,1440,609,2
Oktober 2022,Monat,02.05.2022,245.73,-,-,-,525,-
November 2022,Monat,02.05.2022,257.90,-,-,-,69,-
Dezember 2022,Monat,02.05.2022,244.91,-,-,-,294,-
Januar 2023,Monat,02.05.2022,263.65,-,-,-,-,-
