PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,27.04.2022,202.06,197.00,212.50,1235160,69065,114
Jahr 2024,Jahr,27.04.2022,167.50,166.00,170.25,325008,16756,33
Jahr 2025,Jahr,27.04.2022,145.13,144.00,145.00,43800,4657,5
Quartal 3/2022,Quartal,27.04.2022,241.25,238.00,259.00,704352,191593,232
Quartal 4/2022,Quartal,27.04.2022,261.00,256.00,272.70,386575,181525,125
Quartal 1/2023,Quartal,27.04.2022,249.63,245.00,253.00,103632,12339,32
Quartal 2/2023,Quartal,27.04.2022,176.00,172.50,176.50,24024,5216,9
Quartal 3/2023,Quartal,27.04.2022,175.00,175.00,175.00,11040,4850,2
Quartal 4/2023,Quartal,27.04.2022,208.37,208.00,209.00,30926,4419,5
Quartal 1/2024,Quartal,27.04.2022,207.39,200.00,200.00,13098,471,2
Quartal 2/2024,Quartal,27.04.2022,145.90,-,-,-,327,-
Quartal 3/2024,Quartal,27.04.2022,145.00,-,-,-,425,-
Quartal 4/2024,Quartal,27.04.2022,171.93,-,-,-,78,-
April 2022,Monat,27.04.2022,166.32,-,-,-,236941,-
Mai 2022,Monat,27.04.2022,215.25,211.49,250.00,508152,227750,350
Juni 2022,Monat,27.04.2022,224.00,218.50,249.00,212400,215904,157
Juli 2022,Monat,27.04.2022,231.31,235.00,252.50,12648,890,7
August 2022,Monat,27.04.2022,228.21,239.00,239.00,744,294,1
September 2022,Monat,27.04.2022,265.00,260.00,270.00,7200,549,10
Oktober 2022,Monat,27.04.2022,257.17,-,-,-,295,-
November 2022,Monat,27.04.2022,269.73,-,-,-,14,-
Dezember 2022,Monat,27.04.2022,256.39,-,-,-,294,-
Januar 2023,Monat,27.04.2022,268.22,-,-,-,-,-
