PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,22.04.2022,205.50,205.01,209.00,543120,68395,50
Jahr 2024,Jahr,22.04.2022,172.70,172.00,175.00,289872,16512,26
Jahr 2025,Jahr,22.04.2022,146.29,146.00,147.25,70080,4575,8
Quartal 3/2022,Quartal,22.04.2022,231.83,228.50,236.75,234048,190646,70
Quartal 4/2022,Quartal,22.04.2022,247.00,246.25,253.00,254035,180999,58
Quartal 1/2023,Quartal,22.04.2022,245.41,245.43,250.00,32385,12031,13
Quartal 2/2023,Quartal,22.04.2022,185.50,187.25,188.50,48048,5176,18
Quartal 3/2023,Quartal,22.04.2022,181.21,183.50,185.00,46368,4813,17
Quartal 4/2023,Quartal,22.04.2022,210.55,211.00,212.00,28717,4160,9
Quartal 1/2024,Quartal,22.04.2022,215.53,214.90,215.00,17464,463,3
Quartal 2/2024,Quartal,22.04.2022,150.00,152.00,153.00,10920,315,3
Quartal 3/2024,Quartal,22.04.2022,150.00,150.00,150.00,2208,393,1
Quartal 4/2024,Quartal,22.04.2022,175.51,172.50,176.00,59643,73,7
April 2022,Monat,22.04.2022,166.35,-,-,-,236941,-
Mai 2022,Monat,22.04.2022,205.14,204.00,220.00,473928,223663,315
Juni 2022,Monat,22.04.2022,215.58,213.50,226.00,103680,214172,81
Juli 2022,Monat,22.04.2022,223.81,223.00,224.75,20088,735,8
August 2022,Monat,22.04.2022,219.71,-,-,-,261,-
September 2022,Monat,22.04.2022,252.63,253.50,260.00,15120,502,8
Oktober 2022,Monat,22.04.2022,243.37,-,-,-,295,-
November 2022,Monat,22.04.2022,255.32,-,-,-,14,-
Dezember 2022,Monat,22.04.2022,242.59,-,-,-,294,-
Januar 2023,Monat,22.04.2022,261.50,-,-,-,-,-
