PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,23.05.2022,221.64,219.75,223.49,832200,73825,91
Jahr 2024,Jahr,23.05.2022,178.61,178.10,184.90,447984,18166,37
Jahr 2025,Jahr,23.05.2022,161.42,160.00,164.25,131400,5255,10
Quartal 3/2022,Quartal,23.05.2022,208.70,206.00,213.00,415104,198052,133
Quartal 4/2022,Quartal,23.05.2022,252.00,250.00,256.00,258453,184916,70
Quartal 1/2023,Quartal,23.05.2022,275.95,274.00,276.75,185674,14134,47
Quartal 2/2023,Quartal,23.05.2022,187.10,186.00,186.00,30576,5750,6
Quartal 3/2023,Quartal,23.05.2022,187.24,186.00,186.00,4416,5377,2
Quartal 4/2023,Quartal,23.05.2022,237.08,233.00,239.00,22090,5440,6
Quartal 1/2024,Quartal,23.05.2022,227.20,230.00,235.00,32745,545,6
Quartal 2/2024,Quartal,23.05.2022,151.00,151.00,154.00,32760,357,6
Quartal 3/2024,Quartal,23.05.2022,146.50,146.00,148.00,33120,469,7
Quartal 4/2024,Quartal,23.05.2022,190.00,190.00,190.00,6627,104,2
Mai 2022,Monat,23.05.2022,176.60,-,-,-,228545,-
Juni 2022,Monat,23.05.2022,184.30,181.50,187.50,244800,230601,160
Juli 2022,Monat,23.05.2022,196.58,193.75,201.50,42408,2155,45
August 2022,Monat,23.05.2022,204.02,202.00,205.00,23808,722,10
September 2022,Monat,23.05.2022,226.06,225.50,228.00,10800,1371,7
Oktober 2022,Monat,23.05.2022,226.32,-,-,-,579,-
November 2022,Monat,23.05.2022,267.09,-,-,-,69,-
Dezember 2022,Monat,23.05.2022,263.12,-,-,-,294,-
Januar 2023,Monat,23.05.2022,295.33,-,-,-,-,-
Februar 2023,Monat,23.05.2022,289.80,-,-,-,-,-
