PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,13.05.2022,229.70,228.00,230.00,744600,72605,73
Jahr 2024,Jahr,13.05.2022,189.25,188.75,190.00,351360,17806,26
Jahr 2025,Jahr,13.05.2022,171.90,172.00,173.00,96360,5079,10
Quartal 3/2022,Quartal,13.05.2022,234.45,227.00,240.25,410688,197149,115
Quartal 4/2022,Quartal,13.05.2022,269.25,265.00,272.00,139167,184685,43
Quartal 1/2023,Quartal,13.05.2022,281.00,278.50,281.00,99314,13501,26
Quartal 2/2023,Quartal,13.05.2022,193.97,-,-,-,5625,-
Quartal 3/2023,Quartal,13.05.2022,195.16,192.00,195.00,24288,5221,4
Quartal 4/2023,Quartal,13.05.2022,249.41,-,-,-,5256,-
Quartal 1/2024,Quartal,13.05.2022,234.18,243.00,243.85,8732,524,3
Quartal 2/2024,Quartal,13.05.2022,167.70,-,-,-,335,-
Quartal 3/2024,Quartal,13.05.2022,156.13,157.50,157.50,11040,452,2
Quartal 4/2024,Quartal,13.05.2022,199.26,-,-,-,81,-
Mai 2022,Monat,13.05.2022,188.46,-,-,-,229803,-
Juni 2022,Monat,13.05.2022,206.81,201.25,218.00,169920,226887,131
Juli 2022,Monat,13.05.2022,219.42,217.00,225.00,37944,1564,48
August 2022,Monat,13.05.2022,225.26,223.00,230.00,21576,548,19
September 2022,Monat,13.05.2022,259.47,-,-,-,906,-
Oktober 2022,Monat,13.05.2022,255.86,-,-,-,537,-
November 2022,Monat,13.05.2022,278.19,-,-,-,69,-
Dezember 2022,Monat,13.05.2022,274.00,-,-,-,294,-
Januar 2023,Monat,13.05.2022,302.31,-,-,-,-,-
Februar 2023,Monat,13.05.2022,296.65,-,-,-,-,-
