PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,04.05.2022,215.40,212.00,221.00,1611840,70280,167
Jahr 2024,Jahr,04.05.2022,178.00,172.00,183.45,667584,17111,61
Jahr 2025,Jahr,04.05.2022,155.25,154.00,157.00,201480,4764,23
Quartal 3/2022,Quartal,04.05.2022,235.50,225.00,240.50,457056,193197,129
Quartal 4/2022,Quartal,04.05.2022,264.50,263.00,272.00,521324,182445,120
Quartal 1/2023,Quartal,04.05.2022,260.98,252.00,267.00,308737,12840,93
Quartal 2/2023,Quartal,04.05.2022,187.38,186.00,191.00,48048,5398,18
Quartal 3/2023,Quartal,04.05.2022,185.98,183.00,190.50,22080,4999,9
Quartal 4/2023,Quartal,04.05.2022,227.97,228.00,236.00,194392,4767,61
Quartal 1/2024,Quartal,04.05.2022,222.34,218.00,221.50,21830,504,4
Quartal 2/2024,Quartal,04.05.2022,153.00,-,-,-,327,-
Quartal 3/2024,Quartal,04.05.2022,150.00,-,-,-,438,-
Quartal 4/2024,Quartal,04.05.2022,186.87,-,-,-,78,-
Mai 2022,Monat,04.05.2022,201.11,-,-,-,229804,-
Juni 2022,Monat,04.05.2022,214.47,202.49,219.95,337680,219424,248
Juli 2022,Monat,04.05.2022,226.26,216.00,228.00,30504,1100,26
August 2022,Monat,04.05.2022,223.52,215.00,226.00,12648,370,14
September 2022,Monat,04.05.2022,257.42,250.00,262.00,46800,773,27
Oktober 2022,Monat,04.05.2022,253.18,-,-,-,525,-
November 2022,Monat,04.05.2022,273.73,-,-,-,69,-
Dezember 2022,Monat,04.05.2022,266.91,-,-,-,294,-
Januar 2023,Monat,04.05.2022,280.83,-,-,-,-,-
Februar 2023,Monat,04.05.2022,275.57,-,-,-,-,-
