PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,21.06.2022,237.58,234.00,239.00,1033680,78988,98
Jahr 2024,Jahr,21.06.2022,165.23,164.50,167.00,298656,19685,20
Jahr 2025,Jahr,21.06.2022,138.04,137.50,138.50,96360,5743,11
Quartal 3/2022,Quartal,21.06.2022,271.99,266.00,278.00,465888,204950,157
Quartal 4/2022,Quartal,21.06.2022,307.50,305.00,312.00,247408,189193,79
Quartal 1/2023,Quartal,21.06.2022,293.38,290.50,297.50,183515,16408,59
Quartal 2/2023,Quartal,21.06.2022,198.13,193.00,197.00,96096,6437,21
Quartal 3/2023,Quartal,21.06.2022,199.91,196.00,199.00,61824,6097,19
Quartal 4/2023,Quartal,21.06.2022,259.70,256.00,260.00,101614,6151,16
Quartal 1/2024,Quartal,21.06.2022,242.28,-,-,-,644,-
Quartal 2/2024,Quartal,21.06.2022,125.96,126.75,127.50,32760,512,9
Quartal 3/2024,Quartal,21.06.2022,124.83,126.75,127.50,44160,603,12
Quartal 4/2024,Quartal,21.06.2022,168.30,-,-,-,172,-
Juni 2022,Monat,21.06.2022,215.57,-,-,-,233975,-
Juli 2022,Monat,21.06.2022,264.39,259.00,269.00,359352,13981,297
August 2022,Monat,21.06.2022,269.53,264.50,275.00,148056,3622,125
September 2022,Monat,21.06.2022,282.39,278.40,285.00,33120,4135,32
Oktober 2022,Monat,21.06.2022,275.01,275.00,281.00,8940,786,8
November 2022,Monat,21.06.2022,325.85,-,-,-,100,-
Dezember 2022,Monat,21.06.2022,322.27,-,-,-,359,-
Januar 2023,Monat,21.06.2022,314.05,-,-,-,-,-
Februar 2023,Monat,21.06.2022,314.05,-,-,-,2,-
März 2023,Monat,21.06.2022,254.00,-,-,-,-,-
