PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,26.04.2022,197.00,195.00,207.50,1261440,68846,118
Jahr 2024,Jahr,26.04.2022,165.50,165.50,172.00,351360,16694,38
Jahr 2025,Jahr,26.04.2022,144.56,144.00,146.00,61320,4644,7
Quartal 3/2022,Quartal,26.04.2022,215.50,214.00,232.00,540960,191192,132
Quartal 4/2022,Quartal,26.04.2022,236.58,233.00,254.00,337977,181256,89
Quartal 1/2023,Quartal,26.04.2022,234.00,230.00,238.00,189992,12223,45
Quartal 2/2023,Quartal,26.04.2022,176.75,174.50,185.00,45864,5205,9
Quartal 3/2023,Quartal,26.04.2022,173.50,171.75,181.00,39744,4840,8
Quartal 4/2023,Quartal,26.04.2022,204.35,203.00,203.00,11045,4259,3
Quartal 1/2024,Quartal,26.04.2022,204.79,203.00,203.00,4366,464,1
Quartal 2/2024,Quartal,26.04.2022,144.67,-,-,-,327,-
Quartal 3/2024,Quartal,26.04.2022,144.03,-,-,-,425,-
Quartal 4/2024,Quartal,26.04.2022,168.72,-,-,-,73,-
April 2022,Monat,26.04.2022,164.92,-,-,-,236941,-
Mai 2022,Monat,26.04.2022,192.55,188.49,214.50,415152,226318,359
Juni 2022,Monat,26.04.2022,202.18,197.50,221.00,259920,215143,248
Juli 2022,Monat,26.04.2022,210.25,210.00,226.00,18600,854,14
August 2022,Monat,26.04.2022,198.98,201.00,210.00,5952,293,7
September 2022,Monat,26.04.2022,238.00,236.00,250.00,20160,540,9
Oktober 2022,Monat,26.04.2022,233.21,-,-,-,295,-
November 2022,Monat,26.04.2022,244.49,-,-,-,14,-
Dezember 2022,Monat,26.04.2022,232.29,-,-,-,294,-
Januar 2023,Monat,26.04.2022,251.03,-,-,-,-,-
