PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,28.04.2022,200.48,196.00,201.75,884760,69325,74
Jahr 2024,Jahr,28.04.2022,164.25,164.00,165.25,342576,16826,34
Jahr 2025,Jahr,28.04.2022,145.50,144.75,146.25,192720,4681,20
Quartal 3/2022,Quartal,28.04.2022,231.89,227.00,236.00,457056,191960,123
Quartal 4/2022,Quartal,28.04.2022,256.00,250.00,258.00,307051,181716,86
Quartal 1/2023,Quartal,28.04.2022,247.70,245.00,248.80,88519,12388,36
Quartal 2/2023,Quartal,28.04.2022,174.24,173.40,175.00,48048,5254,20
Quartal 3/2023,Quartal,28.04.2022,174.04,172.00,174.00,24288,4863,11
Quartal 4/2023,Quartal,28.04.2022,206.69,206.35,206.90,19881,4478,9
Quartal 1/2024,Quartal,28.04.2022,205.02,-,-,-,471,-
Quartal 2/2024,Quartal,28.04.2022,143.03,-,-,-,327,-
Quartal 3/2024,Quartal,28.04.2022,140.00,-,-,-,425,-
Quartal 4/2024,Quartal,28.04.2022,169.17,-,-,-,78,-
April 2022,Monat,28.04.2022,165.84,-,-,-,236941,-
Mai 2022,Monat,28.04.2022,205.00,200.86,212.00,325872,228977,235
Juni 2022,Monat,28.04.2022,212.00,208.00,220.00,169200,216500,130
Juli 2022,Monat,28.04.2022,221.00,218.60,223.00,32736,928,33
August 2022,Monat,28.04.2022,220.04,220.00,220.00,744,295,1
September 2022,Monat,28.04.2022,255.39,253.00,260.00,8640,561,5
Oktober 2022,Monat,28.04.2022,252.86,-,-,-,295,-
November 2022,Monat,28.04.2022,264.28,-,-,-,14,-
Dezember 2022,Monat,28.04.2022,251.12,-,-,-,294,-
Januar 2023,Monat,28.04.2022,266.34,-,-,-,-,-
