PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,27.05.2022,232.12,229.00,233.00,324120,74848,35
Jahr 2024,Jahr,27.05.2022,183.00,182.00,183.00,193248,18378,15
Jahr 2025,Jahr,27.05.2022,161.35,161.40,161.50,17520,5314,2
Quartal 3/2022,Quartal,27.05.2022,209.81,205.00,212.00,234048,199098,59
Quartal 4/2022,Quartal,27.05.2022,262.25,255.00,264.00,68479,185884,16
Quartal 1/2023,Quartal,27.05.2022,286.70,284.00,290.00,21590,14693,9
Quartal 2/2023,Quartal,27.05.2022,195.14,194.65,195.75,13104,5895,5
Quartal 3/2023,Quartal,27.05.2022,198.03,197.35,199.25,19872,5431,5
Quartal 4/2023,Quartal,27.05.2022,249.40,247.50,249.50,24299,5551,8
Quartal 1/2024,Quartal,27.05.2022,232.00,-,-,-,555,-
Quartal 2/2024,Quartal,27.05.2022,152.43,154.00,154.00,10920,362,1
Quartal 3/2024,Quartal,27.05.2022,154.00,-,-,-,469,-
Quartal 4/2024,Quartal,27.05.2022,193.80,197.00,197.00,11045,109,1
Mai 2022,Monat,27.05.2022,177.36,-,-,-,228545,-
Juni 2022,Monat,27.05.2022,183.50,181.00,185.00,102240,232876,80
Juli 2022,Monat,27.05.2022,198.25,194.00,198.75,52080,2875,42
August 2022,Monat,27.05.2022,206.52,201.25,206.00,12648,840,15
September 2022,Monat,27.05.2022,225.15,225.00,228.50,16560,1820,20
Oktober 2022,Monat,27.05.2022,229.35,-,-,-,603,-
November 2022,Monat,27.05.2022,278.58,-,-,-,69,-
Dezember 2022,Monat,27.05.2022,279.39,-,-,-,294,-
Januar 2023,Monat,27.05.2022,307.68,-,-,-,-,-
Februar 2023,Monat,27.05.2022,301.92,-,-,-,-,-
