PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,20.04.2022,202.67,196.50,203.75,963600,68009,87
Jahr 2024,Jahr,20.04.2022,164.65,157.50,165.00,316224,16265,35
Jahr 2025,Jahr,20.04.2022,135.92,135.55,136.00,52560,4539,5
Quartal 3/2022,Quartal,20.04.2022,235.42,226.00,238.00,463680,189840,136
Quartal 4/2022,Quartal,20.04.2022,251.30,242.65,253.00,324723,180178,106
Quartal 1/2023,Quartal,20.04.2022,245.00,242.00,246.00,153289,11869,39
Quartal 2/2023,Quartal,20.04.2022,184.04,179.00,184.00,43680,5122,15
Quartal 3/2023,Quartal,20.04.2022,176.41,172.25,178.00,55200,4780,16
Quartal 4/2023,Quartal,20.04.2022,205.96,199.50,207.00,46389,3965,9
Quartal 1/2024,Quartal,20.04.2022,209.12,205.00,205.00,2183,455,1
Quartal 2/2024,Quartal,20.04.2022,140.60,140.00,140.00,2184,300,1
Quartal 3/2024,Quartal,20.04.2022,139.57,145.00,145.00,2208,382,1
Quartal 4/2024,Quartal,20.04.2022,169.55,162.00,162.00,2209,36,1
April 2022,Monat,20.04.2022,163.62,-,-,-,236941,-
Mai 2022,Monat,20.04.2022,207.13,201.00,209.90,403248,221273,295
Juni 2022,Monat,20.04.2022,217.50,212.25,219.00,200880,213112,157
Juli 2022,Monat,20.04.2022,226.98,221.25,225.00,22320,664,11
August 2022,Monat,20.04.2022,224.49,221.00,221.00,744,230,1
September 2022,Monat,20.04.2022,255.44,251.00,256.00,5760,454,4
Oktober 2022,Monat,20.04.2022,247.17,-,-,-,295,-
November 2022,Monat,20.04.2022,259.99,-,-,-,14,-
Dezember 2022,Monat,20.04.2022,247.03,-,-,-,294,-
Januar 2023,Monat,20.04.2022,263.11,-,-,-,-,-
