PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,13.04.2022,201.70,199.00,204.00,805920,67493,80
Jahr 2024,Jahr,13.04.2022,152.45,148.25,153.25,351360,16070,36
Jahr 2025,Jahr,13.04.2022,130.27,127.75,131.50,113880,4450,11
Quartal 3/2022,Quartal,13.04.2022,251.10,246.00,252.50,245088,188834,60
Quartal 4/2022,Quartal,13.04.2022,262.50,259.00,264.00,198810,179475,63
Quartal 1/2023,Quartal,13.04.2022,250.53,250.00,252.00,110109,11656,29
Quartal 2/2023,Quartal,13.04.2022,181.59,179.00,181.50,19656,5088,5
Quartal 3/2023,Quartal,13.04.2022,175.51,173.00,173.00,17664,4694,8
Quartal 4/2023,Quartal,13.04.2022,200.03,195.00,201.00,50807,3879,13
Quartal 1/2024,Quartal,13.04.2022,195.70,195.00,195.00,4366,447,1
Quartal 2/2024,Quartal,13.04.2022,128.62,127.00,127.00,2184,300,1
Quartal 3/2024,Quartal,13.04.2022,127.12,126.00,128.50,6624,382,3
Quartal 4/2024,Quartal,13.04.2022,158.59,-,-,-,35,-
April 2022,Monat,13.04.2022,177.72,-,-,-,236711,-
Mai 2022,Monat,13.04.2022,219.07,216.00,221.20,183768,217697,170
Juni 2022,Monat,13.04.2022,233.44,231.50,235.20,40320,211935,22
Juli 2022,Monat,13.04.2022,240.04,239.50,240.00,8928,526,3
August 2022,Monat,13.04.2022,240.92,-,-,-,152,-
September 2022,Monat,13.04.2022,273.04,279.00,280.00,2880,386,2
Oktober 2022,Monat,13.04.2022,258.70,-,-,-,295,-
November 2022,Monat,13.04.2022,271.29,-,-,-,14,-
Dezember 2022,Monat,13.04.2022,257.80,-,-,-,294,-
Januar 2023,Monat,13.04.2022,269.56,-,-,-,-,-
