PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,18.05.2022,229.93,225.50,236.00,1182600,73354,109
Jahr 2024,Jahr,18.05.2022,187.91,183.50,191.00,368928,18041,36
Jahr 2025,Jahr,18.05.2022,168.50,168.50,172.00,254040,5177,26
Quartal 3/2022,Quartal,18.05.2022,226.59,224.00,232.00,426144,198378,138
Quartal 4/2022,Quartal,18.05.2022,263.91,262.50,267.50,178929,185357,48
Quartal 1/2023,Quartal,18.05.2022,281.05,279.00,288.00,123063,13830,35
Quartal 2/2023,Quartal,18.05.2022,197.44,195.00,200.10,45864,5697,18
Quartal 3/2023,Quartal,18.05.2022,194.57,194.00,195.50,41952,5281,12
Quartal 4/2023,Quartal,18.05.2022,247.43,243.00,252.00,44180,5291,11
Quartal 1/2024,Quartal,18.05.2022,238.64,245.00,245.00,21830,532,2
Quartal 2/2024,Quartal,18.05.2022,159.81,-,-,-,335,-
Quartal 3/2024,Quartal,18.05.2022,156.45,-,-,-,452,-
Quartal 4/2024,Quartal,18.05.2022,197.00,197.00,197.00,11045,86,1
Mai 2022,Monat,18.05.2022,186.18,-,-,-,229803,-
Juni 2022,Monat,18.05.2022,198.50,196.00,205.00,243360,229607,217
Juli 2022,Monat,18.05.2022,214.54,213.00,217.85,49848,1841,49
August 2022,Monat,18.05.2022,217.16,218.00,220.00,9672,601,9
September 2022,Monat,18.05.2022,248.78,248.50,254.50,26640,1127,12
Oktober 2022,Monat,18.05.2022,245.53,245.50,245.50,2980,567,3
November 2022,Monat,18.05.2022,273.84,-,-,-,69,-
Dezember 2022,Monat,18.05.2022,272.70,-,-,-,294,-
Januar 2023,Monat,18.05.2022,302.31,-,-,-,-,-
Februar 2023,Monat,18.05.2022,296.65,-,-,-,-,-
