PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,11.05.2022,221.92,213.00,223.00,963600,72019,89
Jahr 2024,Jahr,11.05.2022,187.00,182.00,187.50,412848,17499,32
Jahr 2025,Jahr,11.05.2022,166.46,161.50,167.00,140160,4983,8
Quartal 3/2022,Quartal,11.05.2022,221.33,217.62,229.00,532128,195863,161
Quartal 4/2022,Quartal,11.05.2022,256.75,252.00,260.00,304842,184107,95
Quartal 1/2023,Quartal,11.05.2022,263.90,257.00,265.50,127381,13260,43
Quartal 2/2023,Quartal,11.05.2022,192.73,190.00,193.00,28392,5577,9
Quartal 3/2023,Quartal,11.05.2022,192.72,186.25,191.00,19872,5167,9
Quartal 4/2023,Quartal,11.05.2022,238.92,226.00,240.00,72897,5095,16
Quartal 1/2024,Quartal,11.05.2022,231.48,-,-,-,518,-
Quartal 2/2024,Quartal,11.05.2022,161.87,162.00,162.00,10920,335,1
Quartal 3/2024,Quartal,11.05.2022,154.60,157.00,157.00,11040,447,1
Quartal 4/2024,Quartal,11.05.2022,200.29,-,-,-,81,-
Mai 2022,Monat,11.05.2022,185.49,-,-,-,229803,-
Juni 2022,Monat,11.05.2022,198.67,194.00,206.00,277200,224908,244
Juli 2022,Monat,11.05.2022,207.91,207.00,210.50,19344,1436,18
August 2022,Monat,11.05.2022,212.17,210.00,211.00,4464,504,6
September 2022,Monat,11.05.2022,244.66,245.00,249.00,3600,898,4
Oktober 2022,Monat,11.05.2022,246.36,-,-,-,535,-
November 2022,Monat,11.05.2022,268.56,-,-,-,69,-
Dezember 2022,Monat,11.05.2022,255.72,-,-,-,294,-
Januar 2023,Monat,11.05.2022,284.06,-,-,-,-,-
Februar 2023,Monat,11.05.2022,278.73,-,-,-,-,-
