PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,16.05.2022,226.90,221.95,227.65,744600,72810,71
Jahr 2024,Jahr,16.05.2022,187.00,184.00,187.50,342576,17837,29
Jahr 2025,Jahr,16.05.2022,168.66,167.00,169.50,122640,5095,13
Quartal 3/2022,Quartal,16.05.2022,224.67,221.06,228.50,476928,197487,116
Quartal 4/2022,Quartal,16.05.2022,261.28,258.50,263.00,245199,184881,82
Quartal 1/2023,Quartal,16.05.2022,276.00,272.00,277.00,82042,13604,18
Quartal 2/2023,Quartal,16.05.2022,192.19,190.50,192.75,28392,5640,11
Quartal 3/2023,Quartal,16.05.2022,192.98,190.57,193.00,19872,5233,5
Quartal 4/2023,Quartal,16.05.2022,247.14,245.00,249.00,37553,5223,6
Quartal 1/2024,Quartal,16.05.2022,234.64,-,-,-,527,-
Quartal 2/2024,Quartal,16.05.2022,159.96,-,-,-,335,-
Quartal 3/2024,Quartal,16.05.2022,155.96,-,-,-,452,-
Quartal 4/2024,Quartal,16.05.2022,197.69,-,-,-,81,-
Mai 2022,Monat,16.05.2022,186.03,-,-,-,229803,-
Juni 2022,Monat,16.05.2022,198.83,194.99,200.50,221760,227722,184
Juli 2022,Monat,16.05.2022,211.00,210.00,218.50,17112,1626,15
August 2022,Monat,16.05.2022,214.50,214.50,214.50,7440,564,3
September 2022,Monat,16.05.2022,249.31,-,-,-,906,-
Oktober 2022,Monat,16.05.2022,247.89,-,-,-,537,-
November 2022,Monat,16.05.2022,270.18,-,-,-,69,-
Dezember 2022,Monat,16.05.2022,266.08,-,-,-,294,-
Januar 2023,Monat,16.05.2022,296.41,-,-,-,-,-
Februar 2023,Monat,16.05.2022,290.85,-,-,-,-,-
