PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,08.06.2022,235.26,234.00,239.60,1611840,76360,164
Jahr 2024,Jahr,08.06.2022,184.90,184.00,186.00,342576,18965,28
Jahr 2025,Jahr,08.06.2022,160.37,160.00,160.05,43800,5597,4
Quartal 3/2022,Quartal,08.06.2022,189.36,188.45,192.25,415104,201069,127
Quartal 4/2022,Quartal,08.06.2022,252.09,252.00,256.00,117077,186946,47
Quartal 1/2023,Quartal,08.06.2022,282.81,280.00,288.00,153289,15321,40
Quartal 2/2023,Quartal,08.06.2022,198.04,198.50,202.00,45864,6103,14
Quartal 3/2023,Quartal,08.06.2022,202.86,203.50,203.50,17664,5731,5
Quartal 4/2023,Quartal,08.06.2022,257.96,258.00,259.25,39762,5852,12
Quartal 1/2024,Quartal,08.06.2022,239.65,-,-,-,592,-
Quartal 2/2024,Quartal,08.06.2022,154.90,-,-,-,450,-
Quartal 3/2024,Quartal,08.06.2022,155.12,-,-,-,545,-
Quartal 4/2024,Quartal,08.06.2022,190.23,-,-,-,116,-
Juni 2022,Monat,08.06.2022,164.17,-,-,-,233975,-
Juli 2022,Monat,08.06.2022,175.60,174.90,182.01,266352,6147,181
August 2022,Monat,08.06.2022,184.37,182.25,186.00,95976,1439,63
September 2022,Monat,08.06.2022,208.73,207.25,211.00,65520,2648,46
Oktober 2022,Monat,08.06.2022,212.70,-,-,-,647,-
November 2022,Monat,08.06.2022,269.37,-,-,-,89,-
Dezember 2022,Monat,08.06.2022,274.81,280.00,280.00,2976,347,2
Januar 2023,Monat,08.06.2022,303.70,-,-,-,-,-
Februar 2023,Monat,08.06.2022,298.01,-,-,-,-,-
März 2023,Monat,08.06.2022,248.15,-,-,-,-,-
