PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,20.05.2022,228.33,223.50,229.00,700800,73646,70
Jahr 2024,Jahr,20.05.2022,186.25,186.00,187.00,184464,18111,10
Jahr 2025,Jahr,20.05.2022,166.50,166.15,167.50,245280,5238,17
Quartal 3/2022,Quartal,20.05.2022,217.50,214.00,219.00,291456,197757,89
Quartal 4/2022,Quartal,20.05.2022,259.63,255.00,261.00,229736,184718,68
Quartal 1/2023,Quartal,20.05.2022,282.70,279.00,283.00,58293,14051,17
Quartal 2/2023,Quartal,20.05.2022,192.91,192.50,194.50,15288,5741,4
Quartal 3/2023,Quartal,20.05.2022,192.64,192.50,192.50,2208,5360,1
Quartal 4/2023,Quartal,20.05.2022,245.88,-,-,-,5406,-
Quartal 1/2024,Quartal,20.05.2022,236.56,240.00,240.00,10915,537,5
Quartal 2/2024,Quartal,20.05.2022,157.39,157.00,157.00,10920,342,1
Quartal 3/2024,Quartal,20.05.2022,154.53,-,-,-,459,-
Quartal 4/2024,Quartal,20.05.2022,196.77,197.00,200.00,22090,101,3
Mai 2022,Monat,20.05.2022,181.66,-,-,-,228545,-
Juni 2022,Monat,20.05.2022,191.42,186.80,193.00,241920,229958,187
Juli 2022,Monat,20.05.2022,205.94,203.60,208.50,53568,2017,46
August 2022,Monat,20.05.2022,212.92,209.00,215.75,26040,674,21
September 2022,Monat,20.05.2022,234.17,233.50,235.80,20160,1360,13
Oktober 2022,Monat,20.05.2022,234.89,232.00,235.00,7450,576,6
November 2022,Monat,20.05.2022,275.19,-,-,-,69,-
Dezember 2022,Monat,20.05.2022,269.34,-,-,-,294,-
Januar 2023,Monat,20.05.2022,302.85,-,-,-,-,-
Februar 2023,Monat,20.05.2022,297.18,-,-,-,-,-
