PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,30.05.2022,233.93,232.25,239.00,805920,75051,72
Jahr 2024,Jahr,30.05.2022,181.25,181.00,186.50,237168,18449,20
Jahr 2025,Jahr,30.05.2022,161.50,161.25,163.00,131400,5333,11
Quartal 3/2022,Quartal,30.05.2022,208.75,208.00,217.00,397440,199301,126
Quartal 4/2022,Quartal,30.05.2022,263.50,263.00,270.00,165675,186068,40
Quartal 1/2023,Quartal,30.05.2022,290.65,290.50,294.50,6477,14730,2
Quartal 2/2023,Quartal,30.05.2022,197.47,200.00,200.00,2184,5912,1
Quartal 3/2023,Quartal,30.05.2022,200.92,203.00,203.00,11040,5440,3
Quartal 4/2023,Quartal,30.05.2022,247.55,247.00,254.00,55225,5573,13
Quartal 1/2024,Quartal,30.05.2022,229.30,231.00,233.00,13098,564,2
Quartal 2/2024,Quartal,30.05.2022,151.00,150.50,152.50,13104,368,2
Quartal 3/2024,Quartal,30.05.2022,151.27,150.00,152.00,13248,475,2
Quartal 4/2024,Quartal,30.05.2022,193.63,-,-,-,110,-
Mai 2022,Monat,30.05.2022,177.48,-,-,-,228545,-
Juni 2022,Monat,30.05.2022,186.03,185.00,190.00,164880,233873,106
Juli 2022,Monat,30.05.2022,195.41,195.10,210.00,69936,3070,53
August 2022,Monat,30.05.2022,204.78,208.50,213.00,17856,871,20
September 2022,Monat,30.05.2022,226.64,227.00,229.00,15120,1931,16
Oktober 2022,Monat,30.05.2022,229.84,230.50,233.00,8940,615,8
November 2022,Monat,30.05.2022,280.95,283.50,283.50,720,70,1
Dezember 2022,Monat,30.05.2022,280.31,-,-,-,294,-
Januar 2023,Monat,30.05.2022,311.98,-,-,-,-,-
Februar 2023,Monat,30.05.2022,306.13,-,-,-,-,-
