PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,17.06.2022,236.62,230.00,238.00,1296480,78409,125
Jahr 2024,Jahr,17.06.2022,171.00,169.00,176.50,202032,19541,21
Jahr 2025,Jahr,17.06.2022,144.15,142.50,149.00,262800,5702,29
Quartal 3/2022,Quartal,17.06.2022,258.00,247.50,276.00,335616,204144,123
Quartal 4/2022,Quartal,17.06.2022,305.10,288.29,317.50,280543,188764,89
Quartal 1/2023,Quartal,17.06.2022,299.81,292.00,301.50,94996,16149,34
Quartal 2/2023,Quartal,17.06.2022,198.03,198.00,199.50,61152,6356,17
Quartal 3/2023,Quartal,17.06.2022,199.06,195.00,196.50,77280,6049,23
Quartal 4/2023,Quartal,17.06.2022,250.56,248.00,250.00,6627,6038,3
Quartal 1/2024,Quartal,17.06.2022,245.16,245.00,245.00,4366,635,2
Quartal 2/2024,Quartal,17.06.2022,134.43,-,-,-,492,-
Quartal 3/2024,Quartal,17.06.2022,134.75,-,-,-,578,-
Quartal 4/2024,Quartal,17.06.2022,170.09,-,-,-,159,-
Juni 2022,Monat,17.06.2022,202.45,-,-,-,233975,-
Juli 2022,Monat,17.06.2022,247.91,236.50,268.00,342240,12600,272
August 2022,Monat,17.06.2022,254.32,240.50,268.00,136896,3137,135
September 2022,Monat,17.06.2022,272.23,265.10,283.00,46080,3915,35
Oktober 2022,Monat,17.06.2022,269.93,-,-,-,764,-
November 2022,Monat,17.06.2022,326.01,-,-,-,100,-
Dezember 2022,Monat,17.06.2022,320.09,-,-,-,359,-
Januar 2023,Monat,17.06.2022,320.90,-,-,-,-,-
Februar 2023,Monat,17.06.2022,320.90,-,-,-,2,-
März 2023,Monat,17.06.2022,259.62,-,-,-,-,-
