PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,06.05.2022,224.60,224.00,228.00,613200,70966,60
Jahr 2024,Jahr,06.05.2022,188.00,186.50,189.00,289872,17282,18
Jahr 2025,Jahr,06.05.2022,165.90,165.50,166.00,35040,4833,3
Quartal 3/2022,Quartal,06.05.2022,236.75,233.75,244.00,554208,194241,145
Quartal 4/2022,Quartal,06.05.2022,266.03,265.00,272.75,448427,183228,94
Quartal 1/2023,Quartal,06.05.2022,267.50,266.50,272.00,112268,13032,36
Quartal 2/2023,Quartal,06.05.2022,194.55,196.00,197.75,15288,5527,4
Quartal 3/2023,Quartal,06.05.2022,194.59,-,-,4416,5126,1
Quartal 4/2023,Quartal,06.05.2022,242.37,-,-,4418,4968,2
Quartal 1/2024,Quartal,06.05.2022,233.19,-,-,-,506,-
Quartal 2/2024,Quartal,06.05.2022,162.74,-,-,-,328,-
Quartal 3/2024,Quartal,06.05.2022,154.66,-,-,-,439,-
Quartal 4/2024,Quartal,06.05.2022,201.64,-,-,-,78,-
Mai 2022,Monat,06.05.2022,195.24,-,-,-,229803,-
Juni 2022,Monat,06.05.2022,209.50,205.00,218.50,253440,221501,222
Juli 2022,Monat,06.05.2022,224.33,222.00,233.00,42408,1232,30
August 2022,Monat,06.05.2022,225.05,226.00,232.50,14880,404,14
September 2022,Monat,06.05.2022,261.68,258.00,265.00,6480,848,7
Oktober 2022,Monat,06.05.2022,255.29,-,-,-,525,-
November 2022,Monat,06.05.2022,274.78,-,-,-,69,-
Dezember 2022,Monat,06.05.2022,268.31,-,-,-,294,-
Januar 2023,Monat,06.05.2022,287.82,-,-,-,-,-
Februar 2023,Monat,06.05.2022,282.42,-,-,-,-,-
