PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,21.04.2022,205.79,202.00,207.00,954840,68224,85
Jahr 2024,Jahr,21.04.2022,170.21,166.00,171.50,281088,16432,29
Jahr 2025,Jahr,21.04.2022,143.77,141.00,143.75,26280,4557,3
Quartal 3/2022,Quartal,21.04.2022,234.90,229.00,238.70,446016,190294,121
Quartal 4/2022,Quartal,21.04.2022,249.78,247.00,253.00,320305,180653,81
Quartal 1/2023,Quartal,21.04.2022,246.99,246.00,248.00,168402,11984,40
Quartal 2/2023,Quartal,21.04.2022,185.50,184.50,185.50,37128,5141,13
Quartal 3/2023,Quartal,21.04.2022,181.59,182.00,183.00,17664,4793,4
Quartal 4/2023,Quartal,21.04.2022,209.78,208.50,210.00,79524,4142,18
Quartal 1/2024,Quartal,21.04.2022,214.89,-,-,-,455,-
Quartal 2/2024,Quartal,21.04.2022,146.24,-,-,-,310,-
Quartal 3/2024,Quartal,21.04.2022,146.16,-,-,-,392,-
Quartal 4/2024,Quartal,21.04.2022,173.80,-,-,-,36,-
April 2022,Monat,21.04.2022,167.25,-,-,-,236941,-
Mai 2022,Monat,21.04.2022,209.50,203.00,217.50,338520,222405,268
Juni 2022,Monat,21.04.2022,218.00,214.00,227.00,167040,213925,133
Juli 2022,Monat,21.04.2022,227.21,224.50,231.00,29016,716,25
August 2022,Monat,21.04.2022,222.76,221.00,221.00,6696,259,9
September 2022,Monat,21.04.2022,255.40,258.00,258.00,14400,474,7
Oktober 2022,Monat,21.04.2022,245.90,-,-,-,295,-
November 2022,Monat,21.04.2022,258.29,-,-,-,14,-
Dezember 2022,Monat,21.04.2022,245.42,-,-,-,294,-
Januar 2023,Monat,21.04.2022,264.73,-,-,-,-,-
