PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,19.04.2022,195.13,194.75,197.50,727080,67822,70
Jahr 2024,Jahr,19.04.2022,153.50,151.50,153.50,96624,16194,9
Jahr 2025,Jahr,19.04.2022,131.08,-,-,-,4486,-
Quartal 3/2022,Quartal,19.04.2022,227.83,221.50,228.50,571872,189585,161
Quartal 4/2022,Quartal,19.04.2022,242.65,241.25,244.50,333559,179970,100
Quartal 1/2023,Quartal,19.04.2022,238.10,236.50,241.00,41021,11796,11
Quartal 2/2023,Quartal,19.04.2022,176.64,-,-,2184,5104,1
Quartal 3/2023,Quartal,19.04.2022,169.61,168.00,169.00,6624,4752,3
Quartal 4/2023,Quartal,19.04.2022,196.93,-,-,4418,3932,2
Quartal 1/2024,Quartal,19.04.2022,190.73,-,-,-,447,-
Quartal 2/2024,Quartal,19.04.2022,134.31,-,-,-,300,-
Quartal 3/2024,Quartal,19.04.2022,131.27,-,-,-,382,-
Quartal 4/2024,Quartal,19.04.2022,157.89,-,-,-,35,-
April 2022,Monat,19.04.2022,164.98,-,-,-,236941,-
Mai 2022,Monat,19.04.2022,205.02,196.00,206.00,366048,219818,315
Juni 2022,Monat,19.04.2022,214.50,211.00,215.50,122400,212678,95
Juli 2022,Monat,19.04.2022,219.96,220.40,222.00,15624,616,13
August 2022,Monat,19.04.2022,218.97,216.00,220.00,23808,222,7
September 2022,Monat,19.04.2022,245.11,254.75,260.00,28800,438,9
Oktober 2022,Monat,19.04.2022,237.89,-,-,-,295,-
November 2022,Monat,19.04.2022,251.42,-,-,-,14,-
Dezember 2022,Monat,19.04.2022,238.92,-,-,-,294,-
Januar 2023,Monat,19.04.2022,255.87,-,-,-,-,-
