PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,05.05.2022,224.07,218.00,229.00,1594320,70665,169
Jahr 2024,Jahr,05.05.2022,188.00,182.00,190.75,579744,17225,51
Jahr 2025,Jahr,05.05.2022,164.07,161.00,164.00,122640,4781,12
Quartal 3/2022,Quartal,05.05.2022,241.91,238.00,247.50,772800,193815,188
Quartal 4/2022,Quartal,05.05.2022,272.40,265.00,276.50,742224,183129,165
Quartal 1/2023,Quartal,05.05.2022,273.50,266.75,276.00,231013,13077,69
Quartal 2/2023,Quartal,05.05.2022,193.37,188.00,197.00,45864,5503,13
Quartal 3/2023,Quartal,05.05.2022,192.91,190.00,192.00,17664,5086,6
Quartal 4/2023,Quartal,05.05.2022,237.25,234.35,241.50,134749,4941,35
Quartal 1/2024,Quartal,05.05.2022,233.55,228.00,228.00,4366,506,1
Quartal 2/2024,Quartal,05.05.2022,162.12,156.00,156.00,2184,328,1
Quartal 3/2024,Quartal,05.05.2022,158.44,154.00,154.00,2208,439,1
Quartal 4/2024,Quartal,05.05.2022,198.11,-,-,-,78,-
Mai 2022,Monat,05.05.2022,203.60,-,-,-,229804,-
Juni 2022,Monat,05.05.2022,218.99,214.50,224.00,466560,220424,256
Juli 2022,Monat,05.05.2022,231.42,227.50,232.25,40920,1165,40
August 2022,Monat,05.05.2022,229.78,228.00,230.00,6696,377,8
September 2022,Monat,05.05.2022,265.28,263.00,267.00,13680,803,5
Oktober 2022,Monat,05.05.2022,260.93,-,-,-,525,-
November 2022,Monat,05.05.2022,281.47,-,-,-,69,-
Dezember 2022,Monat,05.05.2022,275.10,-,-,-,294,-
Januar 2023,Monat,05.05.2022,292.11,-,-,-,-,-
Februar 2023,Monat,05.05.2022,286.64,-,-,-,-,-
