PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,25.04.2022,206.17,203.70,207.50,972360,68528,93
Jahr 2024,Jahr,25.04.2022,172.60,171.50,173.50,219600,16565,25
Jahr 2025,Jahr,25.04.2022,147.75,147.50,148.00,70080,4594,4
Quartal 3/2022,Quartal,25.04.2022,231.44,223.01,235.00,223008,190749,48
Quartal 4/2022,Quartal,25.04.2022,247.75,242.50,249.65,181138,181042,51
Quartal 1/2023,Quartal,25.04.2022,244.92,239.50,247.00,41021,12100,17
Quartal 2/2023,Quartal,25.04.2022,187.48,-,-,-,5188,-
Quartal 3/2023,Quartal,25.04.2022,182.41,-,-,11040,4818,1
Quartal 4/2023,Quartal,25.04.2022,210.51,-,-,11045,4223,5
Quartal 1/2024,Quartal,25.04.2022,215.80,-,-,-,463,-
Quartal 2/2024,Quartal,25.04.2022,149.46,-,-,-,315,-
Quartal 3/2024,Quartal,25.04.2022,148.56,-,-,-,393,-
Quartal 4/2024,Quartal,25.04.2022,176.81,-,-,-,73,-
April 2022,Monat,25.04.2022,165.46,-,-,-,236941,-
Mai 2022,Monat,25.04.2022,202.46,197.50,214.00,386136,225047,283
Juni 2022,Monat,25.04.2022,212.31,205.75,218.00,105120,214456,67
Juli 2022,Monat,25.04.2022,222.75,224.00,225.00,17856,759,14
August 2022,Monat,25.04.2022,219.84,-,-,-,261,-
September 2022,Monat,25.04.2022,252.40,-,-,-,502,-
Oktober 2022,Monat,25.04.2022,244.39,-,-,-,295,-
November 2022,Monat,25.04.2022,255.96,-,-,-,14,-
Dezember 2022,Monat,25.04.2022,243.17,-,-,-,294,-
Januar 2023,Monat,25.04.2022,263.11,-,-,-,-,-
