PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,31.05.2022,239.50,236.00,240.00,1165080,75296,116
Jahr 2024,Jahr,31.05.2022,185.97,185.90,187.00,368928,18516,26
Jahr 2025,Jahr,31.05.2022,162.94,163.00,164.00,131400,5405,11
Quartal 3/2022,Quartal,31.05.2022,219.88,214.00,221.76,331200,199522,112
Quartal 4/2022,Quartal,31.05.2022,270.75,268.50,274.00,262871,186307,82
Quartal 1/2023,Quartal,31.05.2022,294.00,292.00,300.00,168402,14865,50
Quartal 2/2023,Quartal,31.05.2022,203.03,200.50,202.00,63336,5939,18
Quartal 3/2023,Quartal,31.05.2022,206.03,203.00,205.00,26496,5483,8
Quartal 4/2023,Quartal,31.05.2022,255.75,252.00,255.00,26508,5601,8
Quartal 1/2024,Quartal,31.05.2022,234.66,-,-,-,562,-
Quartal 2/2024,Quartal,31.05.2022,154.87,-,-,-,368,-
Quartal 3/2024,Quartal,31.05.2022,155.95,-,-,-,475,-
Quartal 4/2024,Quartal,31.05.2022,198.62,-,-,-,110,-
Juni 2022,Monat,31.05.2022,195.17,189.55,195.75,84960,233979,78
Juli 2022,Monat,31.05.2022,208.17,204.50,208.75,81840,3375,69
August 2022,Monat,31.05.2022,218.07,213.00,215.00,16368,899,16
September 2022,Monat,31.05.2022,233.85,228.50,235.00,46800,2006,30
Oktober 2022,Monat,31.05.2022,235.59,-,-,-,615,-
November 2022,Monat,31.05.2022,288.19,-,-,-,70,-
Dezember 2022,Monat,31.05.2022,289.08,-,-,-,294,-
Januar 2023,Monat,31.05.2022,315.74,-,-,-,-,-
Februar 2023,Monat,31.05.2022,309.82,-,-,-,-,-
März 2023,Monat,31.05.2022,257.92,-,-,-,-,-
