PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,24.05.2022,224.04,221.50,225.10,1095000,74055,104
Jahr 2024,Jahr,24.05.2022,180.80,180.00,181.50,289872,18268,24
Jahr 2025,Jahr,24.05.2022,160.54,160.00,162.00,105120,5287,7
Quartal 3/2022,Quartal,24.05.2022,208.00,207.80,213.80,247296,198206,71
Quartal 4/2022,Quartal,24.05.2022,255.00,253.00,257.50,178929,185227,61
Quartal 1/2023,Quartal,24.05.2022,277.80,276.00,279.50,187833,14238,53
Quartal 2/2023,Quartal,24.05.2022,188.25,187.00,190.00,52416,5796,16
Quartal 3/2023,Quartal,24.05.2022,190.05,190.00,190.00,4416,5396,2
Quartal 4/2023,Quartal,24.05.2022,240.84,240.00,241.50,11045,5479,5
Quartal 1/2024,Quartal,24.05.2022,230.73,231.25,231.25,4366,545,1
Quartal 2/2024,Quartal,24.05.2022,152.55,152.75,152.75,2184,357,1
Quartal 3/2024,Quartal,24.05.2022,148.46,-,-,-,469,-
Quartal 4/2024,Quartal,24.05.2022,191.73,-,-,-,104,-
Mai 2022,Monat,24.05.2022,176.24,-,-,-,228545,-
Juni 2022,Monat,24.05.2022,184.65,184.50,189.00,298800,231425,225
Juli 2022,Monat,24.05.2022,195.23,195.00,200.00,93000,2489,57
August 2022,Monat,24.05.2022,203.18,203.00,207.00,4464,726,5
September 2022,Monat,24.05.2022,226.18,224.50,231.00,43200,1572,19
Oktober 2022,Monat,24.05.2022,226.97,230.00,231.00,8195,600,3
November 2022,Monat,24.05.2022,270.00,-,-,-,69,-
Dezember 2022,Monat,24.05.2022,268.56,-,-,-,294,-
Januar 2023,Monat,24.05.2022,297.01,-,-,-,-,-
Februar 2023,Monat,24.05.2022,292.43,-,-,-,-,-
