PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,07.06.2022,243.04,241.99,245.50,1603080,76031,161
Jahr 2024,Jahr,07.06.2022,189.84,189.50,193.60,447984,18875,42
Jahr 2025,Jahr,07.06.2022,165.83,165.75,168.00,131400,5570,7
Quartal 3/2022,Quartal,07.06.2022,196.75,194.20,197.50,253920,200650,73
Quartal 4/2022,Quartal,07.06.2022,263.50,260.00,264.00,86151,186798,28
Quartal 1/2023,Quartal,07.06.2022,293.00,291.50,295.00,73406,15144,25
Quartal 2/2023,Quartal,07.06.2022,206.45,203.60,207.35,48048,6075,15
Quartal 3/2023,Quartal,07.06.2022,210.52,210.75,213.50,24288,5663,8
Quartal 4/2023,Quartal,07.06.2022,262.88,261.00,266.25,28717,5754,8
Quartal 1/2024,Quartal,07.06.2022,243.23,-,-,-,579,-
Quartal 2/2024,Quartal,07.06.2022,157.97,-,-,-,430,-
Quartal 3/2024,Quartal,07.06.2022,158.71,-,-,-,525,-
Quartal 4/2024,Quartal,07.06.2022,199.70,-,-,-,116,-
Juni 2022,Monat,07.06.2022,172.99,-,-,-,233975,-
Juli 2022,Monat,07.06.2022,180.98,178.95,183.00,203856,5411,151
August 2022,Monat,07.06.2022,193.89,190.00,194.00,85560,1332,56
September 2022,Monat,07.06.2022,216.00,211.00,216.00,100800,2513,68
Oktober 2022,Monat,07.06.2022,223.31,-,-,-,645,-
November 2022,Monat,07.06.2022,280.96,-,-,-,87,-
Dezember 2022,Monat,07.06.2022,286.84,-,-,-,321,-
Januar 2023,Monat,07.06.2022,314.68,-,-,-,-,-
Februar 2023,Monat,07.06.2022,308.78,-,-,-,-,-
März 2023,Monat,07.06.2022,257.02,-,-,-,-,-
