PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,09.05.2022,217.87,211.95,219.25,1182600,71270,119
Jahr 2024,Jahr,09.05.2022,183.00,180.00,183.00,228384,17330,22
Jahr 2025,Jahr,09.05.2022,161.04,159.00,160.50,52560,4902,5
Quartal 3/2022,Quartal,09.05.2022,223.29,216.50,227.00,320160,194644,105
Quartal 4/2022,Quartal,09.05.2022,257.90,254.00,260.00,426337,183488,98
Quartal 1/2023,Quartal,09.05.2022,259.74,259.00,262.00,60452,13086,15
Quartal 2/2023,Quartal,09.05.2022,188.99,185.25,189.00,19656,5540,8
Quartal 3/2023,Quartal,09.05.2022,189.36,-,-,-,5133,-
Quartal 4/2023,Quartal,09.05.2022,234.00,234.00,235.00,110450,5021,28
Quartal 1/2024,Quartal,09.05.2022,228.71,228.00,228.28,21830,516,3
Quartal 2/2024,Quartal,09.05.2022,156.76,158.00,158.00,4368,330,1
Quartal 3/2024,Quartal,09.05.2022,151.83,150.00,150.50,6624,442,2
Quartal 4/2024,Quartal,09.05.2022,194.93,193.00,195.00,6627,81,2
Mai 2022,Monat,09.05.2022,188.67,-,-,-,229803,-
Juni 2022,Monat,09.05.2022,198.30,192.90,204.71,184320,222252,169
Juli 2022,Monat,09.05.2022,211.23,207.00,216.00,19344,1279,15
August 2022,Monat,09.05.2022,213.03,213.00,216.00,11160,447,11
September 2022,Monat,09.05.2022,246.36,245.00,253.00,3600,858,5
Oktober 2022,Monat,09.05.2022,247.72,-,-,-,530,-
November 2022,Monat,09.05.2022,266.55,-,-,-,69,-
Dezember 2022,Monat,09.05.2022,259.72,-,-,-,294,-
Januar 2023,Monat,09.05.2022,278.69,-,-,-,-,-
Februar 2023,Monat,09.05.2022,273.46,-,-,-,-,-
