PriceSeries,PriceType,Date,Price,PriceLow,PriceHigh,Volumne,OpenInterest,TradesCount
Jahr 2023,Jahr,03.05.2022,205.00,199.00,207.00,1252680,69813,126
Jahr 2024,Jahr,03.05.2022,166.25,163.00,168.00,333792,17007,37
Jahr 2025,Jahr,03.05.2022,148.10,144.00,148.00,105120,4727,8
Quartal 3/2022,Quartal,03.05.2022,224.15,217.00,226.25,507840,192821,146
Quartal 4/2022,Quartal,03.05.2022,255.00,247.70,257.00,231945,182117,72
Quartal 1/2023,Quartal,03.05.2022,249.65,244.50,251.25,252603,12674,59
Quartal 2/2023,Quartal,03.05.2022,176.65,172.00,177.75,74256,5330,24
Quartal 3/2023,Quartal,03.05.2022,177.65,174.50,179.00,19872,4918,7
Quartal 4/2023,Quartal,03.05.2022,216.73,210.95,217.00,119286,4641,30
Quartal 1/2024,Quartal,03.05.2022,206.52,-,-,-,487,-
Quartal 2/2024,Quartal,03.05.2022,144.10,-,-,-,327,-
Quartal 3/2024,Quartal,03.05.2022,140.87,-,-,-,438,-
Quartal 4/2024,Quartal,03.05.2022,173.73,-,-,-,78,-
Mai 2022,Monat,03.05.2022,197.57,-,-,-,229804,-
Juni 2022,Monat,03.05.2022,204.96,193.15,208.75,291600,218251,241
Juli 2022,Monat,03.05.2022,214.91,207.00,217.00,29016,1017,19
August 2022,Monat,03.05.2022,210.44,208.00,211.00,11160,348,6
September 2022,Monat,03.05.2022,247.86,245.00,249.00,10080,630,9
Oktober 2022,Monat,03.05.2022,250.03,-,-,-,525,-
November 2022,Monat,03.05.2022,263.82,-,-,-,69,-
Dezember 2022,Monat,03.05.2022,251.44,-,-,-,294,-
Januar 2023,Monat,03.05.2022,267.41,-,-,-,-,-
Februar 2023,Monat,03.05.2022,262.40,-,-,-,-,-
